pitch_mean,pitch_std,speech_rate,silence_ratio,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,mfcc_means,mfcc_kurtosis,mfcc_skewness,file_name
958.53271484375,978.738525390625,129.19921875,0.6175595238095238,1731.0541793581149,1940.1454538730952,3260.960475804727,"[-407.8015441894531, 100.8016586303711, 27.868072509765625, 22.66177749633789, 10.875018119812012, -3.6538352966308594, -17.143461227416992, -9.992419242858887, -13.151082038879395, -11.755181312561035, -4.7092485427856445, -3.917403221130371, -5.20495080947876]","[-0.5326575703309571, -0.2529648588093054, -0.3118562529877229, 0.7646424829287799, 0.686786838640808, 0.04343678659721384, -0.5517682717984655, 0.46188746245620527, -0.4651165881101478, -0.13737517647613284, 0.397462181490162, 0.6379416185006277, 0.12712408877860737]","[0.05452993832622261, -0.583281088065669, -0.18427001179549551, 0.10160383998383767, -0.7821571619035362, -0.18030763903146182, -0.2597461913931242, -0.5366430555580258, -0.144252056624573, -0.39243691078653686, -0.29615964473222534, 0.24190580778022577, -0.16888190309810672]",adrso002.mp3
920.9108276367188,954.8234252929688,123.046875,0.3858921161825726,1671.0744263571369,2074.5531231816753,3412.454647546648,"[-408.3194885253906, 124.77786254882812, 28.643341064453125, 14.199746131896973, 9.371810913085938, -7.216062068939209, -10.860417366027832, -7.6649250984191895, -14.977226257324219, -3.4029455184936523, -8.137080192565918, -4.942004680633545, -6.4054179191589355]","[-0.9373424407013258, -0.46070105518694193, -0.06105278838657968, -0.3085001836594561, 1.9991293830751582, -0.43265206406257795, -0.5990488421233398, -0.3779804055051965, -0.28840392473116516, -0.23916554538362744, 0.20996626544352193, 0.6084479189504974, 0.06003365581271147]","[-0.29931825470325, -0.5683063477253897, -0.4404835400213292, -0.5093212469552342, -0.7935794216701431, -0.38636782800562874, -0.11770847290568069, -0.22257757791752977, -0.3853216749380982, -0.020690769900154636, 0.1983047988358472, 0.304406701167195, -0.17732185818314022]",adrso003.mp3
974.7969970703125,1059.6239013671875,112.34714673913044,0.46458333333333335,1922.2758866570673,2173.6149105948025,4014.5531439012098,"[-433.4810791015625, 109.884033203125, 20.778339385986328, 27.571712493896484, 4.736287593841553, 8.968852043151855, -8.00033950805664, -6.790378570556641, -8.429084777832031, 0.3555520176887512, -2.7593932151794434, -3.8307244777679443, 0.38321778178215027]","[-1.308920395865508, -0.8215569748658944, 0.1559926795712685, 0.35636055090847085, 0.3911314391200009, 0.22826542972388886, -0.4512133647686558, 0.22640218729573514, 0.23195034018412075, 0.02328385939395039, 0.505257872181692, 1.1824240568388475, 0.5783335077526233]","[-0.05236719139544604, -0.05945825399537345, -0.26271549051078014, 0.40889995341949187, -0.6123260199637611, -0.45071923412610615, -0.4174030833295546, -0.665156375031436, -0.6996383854899437, -0.23822658731780663, -0.21621048422395578, -0.06913789980920397, 0.281771572762234]",adrso004.mp3
993.8031616210938,986.8153686523438,117.45383522727273,0.6986455981941309,1917.0762924742123,2266.8122658587868,3974.3134130253384,"[-429.1095886230469, 100.61349487304688, 22.98379135131836, 13.435020446777344, 6.174014091491699, 4.960788726806641, -3.569403886795044, -1.9836291074752808, 1.5642608404159546, 4.230142593383789, -6.85272216796875, -7.250898838043213, -9.696802139282227]","[-0.4626887530956707, -0.5531427651894294, 0.2049791176869009, 0.1694721971644042, 0.4968798655846114, 0.9730594456838881, 0.002879114335452737, 0.1640546882437217, 0.5307710991616661, 0.43353085548331505, 0.2821721059826179, 0.3852875005416396, 0.2950276900191442]","[0.007959327224993087, -0.3044572938864375, -0.24855021800573138, -0.34145739234127853, -0.8252903085405883, -0.6460905759260063, -0.6069111349809956, -0.5809258539769038, -0.1921652711609026, 0.26862123044712377, -0.4934978579782495, -0.20741352332649268, -0.2992137042905911]",adrso005.mp3
748.4613647460938,712.6741943359375,129.19921875,0.4462762933484935,1867.956565235273,2168.1662188820446,3841.186981201172,"[-426.6399230957031, 119.9216079711914, 27.021156311035156, 11.4740571975708, -1.6875019073486328, -2.529881238937378, -6.294361114501953, 9.06035041809082, -1.7270101308822632, -2.337831735610962, -9.172248840332031, -10.673527717590332, -9.089092254638672]","[-1.2581661988657828, -0.46001522780566395, -0.21632615438359482, -0.27025688974175166, 0.8185913002867324, -0.2131523973193472, -0.6726007017293516, 1.2612704341439676, -0.5528723948893255, 0.13929750741027425, 0.1761207454926299, 0.2775090054146738, 0.34140570939637627]","[-0.07699490188105718, -0.2961239103077767, -0.10665539022664525, -0.10010578411745712, -1.028743825832537, -0.6002310967580556, -0.4002152736142942, -0.6411661892636538, -0.2885837135670295, -0.41443115524265217, -0.3213221261717362, -0.32130519457331363, -0.3541529144910147]",adrso006.mp3
989.6500244140625,796.2557983398438,123.046875,0.3896797153024911,2212.0995337975487,2384.7195901730024,4420.508203125,"[-334.49346923828125, 113.615234375, 22.952476501464844, -0.9694709181785583, 0.9756879210472107, 10.658208847045898, -14.179694175720215, -0.07724396139383316, -3.5000953674316406, 1.2351946830749512, -3.6976475715637207, 1.199963927268982, -5.556508541107178]","[-1.3283502991096057, 0.6908769656624565, 0.10289794943549824, -0.016228238181560606, 0.569348157575825, 1.2953308223241295, -0.2203739643113778, 0.4917020723976693, -0.06021939717602631, 0.26091816436808735, 0.9978014283681498, 0.5169849593819302, -0.09915982619175212]","[-0.08706372961225949, -0.7564052991676681, 0.30211245880866366, -0.5461815384550985, -0.9161924280640773, -0.7102808402585522, -0.6718960733498449, -0.2795967761617159, -0.5183744272354145, 0.030067875338624324, -0.5985080622330325, -0.03853561353075522, -0.2772568730780037]",adrso007.mp3
860.3631591796875,795.4378051757812,123.046875,0.4824281150159745,1478.786878318431,1881.8031848206626,2831.92074072622,"[-377.04571533203125, 130.61724853515625, 23.2384033203125, 6.098943710327148, 0.4965064525604248, -10.3560152053833, -16.07368278503418, -1.2652363777160645, -8.505118370056152, -4.610231399536133, -8.884271621704102, -6.412333011627197, -5.857456684112549]","[-0.8802791534062404, -0.6871459325289946, -0.033368256821394215, 0.16330673933276785, 1.154436413556633, -0.0034995246493463306, -0.02639201174298389, 0.33780482900860864, 0.061581539993203815, 0.28090850459702743, -0.050429209773375394, 0.033820856945865785, 0.08256485487235343]","[-0.020470953231046505, -0.24575382529992887, -0.6274046933876293, -0.6058213227922444, -0.9673415033223164, -0.4527237267087875, -0.5386060649483568, 0.11127378184032567, -0.4446530145969949, -0.22024374305389652, -0.2657832050444279, -0.20217085764993842, -0.36163111517793006]",adrso008.mp3
1365.3983154296875,1118.0299072265625,129.19921875,0.382597568777991,2221.009212508066,2157.3489225649646,4299.70842054128,"[-335.594482421875, 94.31938171386719, 4.5693359375, 19.564071655273438, -9.934610366821289, -0.08759418874979019, -15.226696968078613, 0.5964588522911072, -8.837203979492188, -2.3035049438476562, -4.825647830963135, 1.8819767236709595, -8.54472827911377]","[-0.7689974943763356, 0.25454390836195984, -0.5000148566952567, 0.3319658322428629, -0.22065368830858922, 0.45220880446586253, -0.791433841569265, 0.5971003565592694, -0.24678555011343928, 0.9859619527045251, 0.2501270122688739, 0.7246536493268967, -0.0599172422493659]","[-0.41684072556448115, -0.5869805011029716, -0.19416677570268912, -0.20573005628573618, -0.538190934550645, -0.49293279752426583, -0.09381026194203491, -0.3071160547074426, -0.10343369972666754, 0.3385013136344464, -0.27961858260423994, 0.04797269922979254, -0.12213590337763977]",adrso009.mp3
1091.169189453125,832.6619873046875,135.99917763157896,0.5107252298263534,2320.6066833457585,2287.7946545486584,4530.43212890625,"[-279.6855163574219, 100.93982696533203, 19.145658493041992, 2.2134602069854736, -7.608332633972168, 7.176114082336426, -15.535109519958496, 4.208534240722656, -3.577760696411133, -5.437932014465332, -3.4676220417022705, -4.904332637786865, -8.82774543762207]","[-1.0869417308071152, 0.27215823909316494, 0.05422788598287909, 0.19009290590088668, -0.071248226645797, 0.46246564169886817, -0.8239445035203978, 0.9998567354668788, 0.1297050609605055, -0.2698516674993616, 0.5803674955617737, 0.7172387191231713, -0.5718056162662979]","[0.03871109771400635, -0.49075648755342777, -0.4204572102689994, -0.25514158577086465, -0.7073013359613595, -0.14155199190680054, -0.2757712288267253, -0.06573592103745585, -0.24603774444382898, -0.39310821144633634, -0.4742539845900527, -0.1226025338603062, -0.37905234755768386]",adrso010.mp3
1036.64453125,951.6551513671875,135.99917763157896,0.3092715231788079,1539.2604297748067,1852.5027824974181,2902.628753076398,"[-284.08544921875, 134.97462463378906, 24.078399658203125, 20.957386016845703, 5.656279563903809, -10.36368179321289, -20.297008514404297, -9.407918930053711, -11.6651029586792, -6.160313129425049, -3.1517069339752197, -0.23840972781181335, -4.475713729858398]","[-0.6653144072166954, -0.15904190097240178, -0.2936318076929303, -0.005004960597805752, -0.005514993333934459, -0.1824054573590299, -0.33126349725871895, 0.4522117261870182, 0.18999895100071562, 0.3018514219448929, 0.027955267538506856, 0.31527725616857216, 0.6013728400738336]","[0.08530244847423951, -0.6458269576450604, -0.23188253358797684, -0.25110034353099525, -0.21573885642612178, -0.11601483959639651, -0.23899654117619984, -0.4564330575584041, -0.4457195320096931, 0.24835108633497113, -0.26259115997105065, 0.12139173704816825, -0.5541704300361138]",adrso011.mp3
1309.2430419921875,1070.8377685546875,123.046875,0.4415495371957491,1895.9228489233049,2126.0066004899095,3719.9752211489035,"[-315.9911804199219, 123.58135223388672, 18.766843795776367, 17.13300323486328, 6.557424545288086, -3.065340757369995, -2.0316879749298096, -0.7028764486312866, -7.814602851867676, 7.781072616577148, -1.6902302503585815, -4.776630878448486, -6.442720890045166]","[-0.8331497004031969, -0.0485808399750991, -0.26883649961549017, 0.741300577857531, 0.30904141908287075, -0.2957035841519482, -0.11843226301983156, 0.44758023931252033, 0.41012938851373315, -0.0033024023175602935, 0.2540483093047259, 0.16516798555426337, 0.08179920840367627]","[0.14821021288814173, -0.6736238184539984, 0.13627793510493377, 0.37402825180064875, -0.7173699243481123, -0.4648234047797, -0.3095027466661138, -0.24796381272935072, -0.4184163080034884, 0.07308232344738069, -0.3166576515186311, -0.15905412915952674, -0.07332614442376764]",adrso012.mp3
1182.921875,942.4548950195312,129.19921875,0.3355834136933462,2215.686628367608,2120.5459049157744,3961.964160720737,"[-288.8759765625, 110.66860961914062, 15.231548309326172, 3.9796059131622314, -1.577902913093567, -1.2320520877838135, -7.311150074005127, -5.613004684448242, -11.074148178100586, -2.9856643676757812, -6.725317478179932, -2.705761432647705, -3.814316749572754]","[-0.8728358285813753, 0.4960665299395077, -0.028689426553509367, -0.2728699348123822, 0.36848648051444943, -0.38110355870091706, 0.073449491280555, -0.05714359051844431, -0.4466935432262078, 0.19616580254771554, 1.0816830858040865, 0.4655776704859149, 0.4974218334189433]","[-0.3508763081770074, -0.9344147526611218, 0.1317954775774894, -0.06155974054484133, -0.9736094566203327, -0.37494213123858594, 0.2733263870056447, -0.1587109824858175, -0.1106732978064865, -0.6787099922071994, -0.6308972580070331, 0.24324067344787548, -0.5943373665952602]",adrso013.mp3
1392.1429443359375,1048.828125,143.5546875,0.4414819944598338,2164.7830095983886,2235.3590263995065,4040.6321492893303,"[-269.9542236328125, 108.02314758300781, 8.018227577209473, 5.808612823486328, 0.6740723252296448, -16.65730094909668, -7.229954719543457, -2.809565782546997, -5.046296119689941, 1.7389473915100098, -7.966244697570801, 0.4987843632698059, -8.483756065368652]","[-0.9536779959960984, 0.7235661492070511, -0.5831934343270868, 0.49322204203851205, 0.5292480490206519, -0.3464361700648104, -0.00404188097819258, 1.1372206955362465, 0.027897774290464028, 0.2657819034799864, 0.045827374397934495, 0.5289540425747634, -0.02161663144690129]","[-0.02052649842183295, -0.8427198910847987, -0.15996705161877342, -0.1436951094204743, -0.6663974606373869, -0.4528868394165237, -0.23486466785802473, -0.723498082184833, -0.4136233174567668, 0.1540945127272108, -0.370547762369954, 0.07333756696783167, -0.4844998450877059]",adrso014.mp3
1282.37890625,914.640380859375,112.34714673913044,0.520480005792207,2447.350249796288,2524.0492237380045,5098.642261457244,"[-304.9833679199219, 94.66283416748047, -2.359560012817383, 16.2611083984375, 7.585449695587158, 4.0911641120910645, -6.632206439971924, -1.204042911529541, -3.7276604175567627, 0.3741007149219513, -6.275867938995361, 2.4710211753845215, -8.43394947052002]","[0.09492924205882769, 1.2184377024119017, 2.2376874901197272, 1.675662641393484, 3.2527649825533693, 2.955899226611307, 1.0864776999168875, 0.9182856372455803, 1.6867054475466157, 1.7289688229761602, 1.5701453554851899, 1.8034963244524116, 1.3055995065709958]","[0.7383118147619236, -0.9426892748363279, 0.11416985475075334, 0.3702588940854825, -1.4677180049391239, -1.231693175497939, -1.122615798499948, -0.9225914964088952, -0.4294089775072498, -0.4155491248826262, -0.9951287441900594, 0.14348793638308724, -0.29668468269351933]",adrso015.mp3
1162.6912841796875,1005.0892944335938,112.34714673913044,0.5854501718443961,2488.6398917717,2564.033899499296,5119.133419703618,"[-541.0248413085938, 88.52969360351562, 18.0411434173584, 13.56915283203125, 4.7303547859191895, 8.965864181518555, 0.0350152924656868, 3.721327781677246, -12.214559555053711, -11.607054710388184, -7.276366233825684, 0.7559193968772888, -12.027955055236816]","[-0.6024668844931882, -0.10448654504017929, -0.6132713749319292, 0.5150279383902459, 7.691207756230467, 1.136891550143111, 0.3505261533179853, 1.0952243339631256, -0.3109765490636285, -0.4402939358174778, 0.420458700496412, 0.26180730948230435, -0.0907301317812057]","[0.12926227909239746, -0.2616935166559507, -0.1969685829534145, -0.3555078623891839, -2.068481309636481, -0.46365272882604874, -0.6141343535232127, -0.1790673190021657, -0.39273235686670466, -0.35088314361072026, -0.2526325330068604, 0.11854540010515048, -0.5247932234532611]",adrso016.mp3
1394.4744873046875,1067.0399169921875,117.45383522727273,0.5953104908857121,2043.9292975184317,2195.8814191645774,4011.616981410334,"[-324.24676513671875, 100.64083099365234, 6.806029796600342, 18.625652313232422, 3.4439449310302734, -1.2017464637756348, -18.10209846496582, -14.607063293457031, -17.608200073242188, -9.996907234191895, -11.902140617370605, -1.0828735828399658, -5.322841167449951]","[-0.2707865396982059, -0.2136253633935281, 1.111328612276603, 0.18336090933835258, 0.19992712215286046, 1.1953370291908856, -0.10706243236901569, 0.24754623801496578, -0.2997255233723912, 0.16360653502460254, 0.2551176542074858, 0.8946501256772708, 0.2900848873170556]","[0.2519774129611991, -0.34605656474025487, -0.9206748964840379, 0.17951329324263443, -0.04226207474208888, -0.7338887577452954, -0.5159554409891306, -0.3327090587069271, -0.20899006872947437, -0.12637632083356687, -0.47695457584532885, 0.6934700675901978, 0.14899862483104814]",adrso017.mp3
1096.31689453125,1022.3946533203125,112.34714673913044,0.4949805717932064,2421.763191029276,2572.726221708812,5441.592724306758,"[-175.2150421142578, 93.74750518798828, 20.785799026489258, 27.31620216369629, -5.967424392700195, 13.422944068908691, -18.641868591308594, -7.048038482666016, -9.342019081115723, 3.2007815837860107, -7.2386088371276855, -0.5126448273658752, 3.5389742851257324]","[-0.11367519847207275, 2.313071246046454, 1.352022215104701, 1.134914681088329, 0.929332937919134, 2.2708367814439567, -0.3527594104370406, 0.500212748602078, 1.0433427584272073, 0.29343397964635143, 0.8858957676934058, 0.8558942483580694, 0.5199380337180877]","[0.5771950929493881, -1.0519897239650948, -0.39087053558636536, -0.6098272466559365, 0.1937152498911398, -1.0265893220770232, -0.8034295755573605, -0.7995998936796123, -0.5035596297600373, -0.655602075882367, -0.6718130402226907, 0.19314608989953716, -0.050881493831131074]",adrso018.mp3
1191.1724853515625,949.5682983398438,123.046875,0.2611410430839002,2216.0636653198953,2324.1556576321354,4417.685574077298,"[-101.38565063476562, 92.57301330566406, -8.885871887207031, 25.96505355834961, -4.581007957458496, 2.2734451293945312, -8.753482818603516, -0.13885019719600677, 2.1834869384765625, -1.0877752304077148, -5.23000431060791, -2.0772109031677246, 2.927046537399292]","[-0.3424230477578911, 0.5497662254841291, -0.3649276776023811, 0.20512063902622568, 0.19897457187991652, -0.06304208122413746, -0.07830926142839179, -0.2241292791434839, -0.032892171921824254, -0.04064341680441563, 0.08896748850803649, 0.5371937802675983, 0.3304894309543429]","[0.31059398543008043, -0.7042524133647251, -0.040095295467169084, -0.2447842049807416, -0.40691564695086974, -0.09304165623503878, -0.22911785139833674, -0.24842760380199772, -0.09095242396176799, -0.10859570339255264, 0.08591821954504571, -0.1441052549617006, 0.04299326205804054]",adrso019.mp3
